方法,分类,注释,参数,解释,例子
macro_usa_trade_balance,全球宏观-美国宏观,"美国贸易帐报告, 数据区间从 19700101-至今",,"美国贸易帐报告, 数据区间从 19700101-至今\nhttps://datacenter.jin10.com/reportType/dc_usa_trade_balance\n:return: 美国贸易帐报告\n:rtype: pandas.DataFrame",
macro_usa_unemployment_rate,全球宏观-美国宏观,"美国失业率报告, 数据区间从 19700101-至今",,"美国失业率报告, 数据区间从 19700101-至今\nhttps://datacenter.jin10.com/reportType/dc_usa_unemployment_rate\n:return: 获取美国失业率报告\n:rtype: pandas.Series",
match_main_contract,期货分钟数据,新浪财经-期货-主力合约,symbol,"新浪财经-期货-主力合约\nhttps://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html#titlePos_1\n:param symbol: choice of {'czce', 'dce', 'shfe', 'cffex', 'gfex'}\n:type symbol: str\n:return: 主力合约的字符串\n:rtype: str",
migration_area_baidu,百度迁徙地图接口,百度地图慧眼-百度迁徙-XXX迁入地详情,area;indicator;date,百度地图慧眼-百度迁徙-XXX迁入地详情\n百度地图慧眼-百度迁徙-XXX迁出地详情\n以上展示 top100 结果，如不够 100 则展示全部\n迁入来源地比例: 从 xx 地迁入到当前区域的人数与当前区域迁入总人口的比值\n迁出目的地比例: 从当前区域迁出到 xx 的人口与从当前区域迁出总人口的比值\nhttps://qianxi.baidu.com/?from=shoubai#city=0\n:param area: 可以输入 省份 或者 具体城市 但是需要用全称\n:type area: str\n:param indicator: move_in 迁入 move_out 迁出\n:type indicator: str\n:param date: 查询的日期 20200101 以后的时间\n:type date: str\n:return: 迁入地详情/迁出地详情的前 50 个\n:rtype: pandas.DataFrame,
migration_scale_baidu,百度迁徙地图接口,百度地图慧眼-百度迁徙-迁徙规模,area;indicator,百度地图慧眼-百度迁徙-迁徙规模\n迁徙规模指数：反映迁入或迁出人口规模，城市间可横向对比城市迁徙边界采用该城市行政区划，包含该城市管辖的区、县、乡、村\nhttps://qianxi.baidu.com/?from=shoubai#city=0\n:param area: 可以输入 省份 或者 具体城市 但是需要用全称\n:type area: str\n:param indicator: move_in 迁入 move_out 迁出\n:type indicator: str\n:return: 时间序列的迁徙规模指数\n:rtype: pandas.DataFrame,
movie_boxoffice_cinema_daily,电影票房,电影票房-影院票房-日票房排行,date,电影票房-影院票房-日票房排行\nhttps://www.endata.com.cn/BoxOffice/BO/Cinema/day.html\n:param date: 当前日期前一日的票房数据\n:type date: str\n:return: 影票房-影院票房-日票房排行\n:rtype: pandas.DataFrame,
movie_boxoffice_cinema_weekly,电影票房,电影票房-影院票房-周票房排行,date,电影票房-影院票房-周票房排行\nhttps://www.endata.com.cn/BoxOffice/BO/Cinema/week.html\n:param date: 当前日期前完整一周的票房数据\n:type date: str\n:return: 影票房-影院票房-轴票房排行\n:rtype: pandas.DataFrame,
movie_boxoffice_daily,电影票房,电影票房-单日票房,date,电影票房-单日票房\nhttps://www.endata.com.cn/BoxOffice/BO/Day/index.html\n:param date: 只能设置当前日期的前一天的票房数据\n:type date: str\n:return: 每日票房\n:rtype: pandas.DataFrame,
movie_boxoffice_monthly,电影票房,电影票房-单月票房,date,电影票房-单月票房\nhttps://www.endata.com.cn/BoxOffice/BO/Month/oneMonth.html\n:param date: 指定日期所在月份的月度票房\n:type date: str\n:return: 单月票房\n:rtype: pandas.DataFrame,
movie_boxoffice_realtime,电影票房,电影票房-实时票房,,电影票房-实时票房\nhttps://ys.endata.cn/BoxOffice/Movie\n:return: 实时票房数据\n:rtype: pandas.DataFrame,
movie_boxoffice_weekly,电影票房,电影票房-单周票房,date,电影票房-单周票房\nhttps://www.endata.com.cn/BoxOffice/BO/Week/oneWeek.html\n:param date: 只能获取指定日期所在完整周的票房数据\n:type date: str\n:return: 单周票房\n:rtype: pandas.DataFrame,
movie_boxoffice_yearly,电影票房,电影票房-年度票房,date,电影票房-年度票房\nhttps://www.endata.com.cn/BoxOffice/BO/Year/index.html\n:param date: 当前日期所在年度的票房数据\n:type date: str\n:return: 年度票房\n:rtype: pandas.DataFrame,
movie_boxoffice_yearly_first_week,电影票房,电影票房-年度票房-年度首周票房,date,电影票房-年度票房-年度首周票房\nhttps://www.endata.com.cn/BoxOffice/BO/Year/firstWeek.html\n:param date: 当前日期所在年度的年度首周票房票房数据\n:type date: str\n:return: 年度首周票房\n:rtype: pandas.DataFrame,
news_cctv,新闻联播文字稿,新闻联播文字稿,date,新闻联播文字稿\nhttps://tv.cctv.com/lm/xwlb\n:param date: 需要获取数据的日期; 目前 20160203 年后\n:type date: str\n:return: 新闻联播文字稿\n:rtype: pandas.DataFrame,
news_economic_baidu,,,date,百度股市通-经济数据\nhttps://gushitong.baidu.com/calendar\n:param date: 查询日期\n:type date: str\n:return: 经济数据\n:rtype: pandas.DataFrame,
news_report_time_baidu,全球宏观事件,百度股市通-财报发行,date,百度股市通-财报发行\nhttps://gushitong.baidu.com/calendar\n:param date: 查询日期\n:type date: str\n:return: 财报发行\n:rtype: pandas.DataFrame,
news_trade_notify_dividend_baidu,全球宏观事件,百度股市通-交易提醒-分红派息,date,百度股市通-交易提醒-分红派息\nhttps://gushitong.baidu.com/calendar\n:param date: 查询日期\n:type date: str\n:return: 交易提醒-分红派息\n:rtype: pandas.DataFrame,
news_trade_notify_suspend_baidu,全球宏观事件,百度股市通-交易提醒-停复牌,date,百度股市通-交易提醒-停复牌\nhttps://gushitong.baidu.com/calendar\n:param date: 查询日期\n:type date: str\n:return: 交易提醒-停复牌\n:rtype: pandas.DataFrame,
nlp_answer,知识图谱,智能问答,question,智能问答\nhttps://ownthink.com/robot.html\n:param question: word in chinese\n:type question: str\n:return: indicator data\n:rtype: list or dict or pandas.DataFrame,
nlp_ownthink,知识图谱,Knowledge Graph interface for financial research,word;indicator,Knowledge Graph interface for financial research\nhttps://ownthink.com/\n:param word: word in chinese\n:type word: str\n:param indicator: entity or desc or avp or tag\n:type indicator: str\n:return: indicator data\n:rtype: list or dict or pandas.DataFrame,
online_value_artist,艺恩-艺人,艺恩-艺人-艺人流量价值,,艺恩-艺人-艺人流量价值\nhttps://www.endata.com.cn/Marketing/Artist/business.html\n:return: 艺人流量价值\n:rtype: pandas.DataFrame,
option_cffex_hs300_daily_sina,金融期权-新浪,新浪财经-中金所-沪深300指数-指定合约-日频行情,symbol,"新浪财经-中金所-沪深300指数-指定合约-日频行情\n:param symbol: 具体合约代码(包括看涨和看跌标识), 可以通过 ak.option_cffex_hs300_spot_sina 中的 call-标识 获取\n:type symbol: str\n:return: 日频率数据\n:rtype: pd.DataFrame",
option_cffex_hs300_list_sina,金融期权-新浪,"新浪财经-中金所-沪深 300 指数-所有合约, 返回的第一个合约为主力合约",,"新浪财经-中金所-沪深 300 指数-所有合约, 返回的第一个合约为主力合约\n目前新浪财经-中金所有沪深 300 指数和中证 1000 指数\n:return: 中金所-沪深300指数-所有合约\n:rtype: dict",
option_cffex_hs300_spot_sina,金融期权-新浪,中金所-沪深 300 指数-指定合约-实时行情,symbol,中金所-沪深 300 指数-指定合约-实时行情\nhttps://stock.finance.sina.com.cn/futures/view/optionsCffexDP.php\n:param symbol: 合约代码; 用 option_cffex_hs300_list_sina 函数查看\n:type symbol: str\n:return: 中金所-沪深300指数-指定合约-看涨看跌实时行情\n:rtype: pd.DataFrame,
option_cffex_sz50_daily_sina,金融期权-新浪,新浪财经-中金所-上证 50 指数-指定合约-日频行情,symbol,"新浪财经-中金所-上证 50 指数-指定合约-日频行情\n:param symbol: 具体合约代码(包括看涨和看跌标识), 可以通过 ak.option_cffex_sz50_spot_sina 中的 call-标识 获取\n:type symbol: str\n:return: 日频率数据\n:rtype: pd.DataFrame",
option_cffex_sz50_list_sina,金融期权-新浪,"新浪财经-中金所-上证 50 指数-所有合约, 返回的第一个合约为主力合约",,"新浪财经-中金所-上证 50 指数-所有合约, 返回的第一个合约为主力合约\n目前新浪财经-中金所有上证 50 指数，沪深 300 指数和中证 1000 指数\n:return: 中金所-上证 50 指数-所有合约\n:rtype: dict",
option_cffex_sz50_spot_sina,金融期权-新浪,中金所-上证 50 指数-指定合约-实时行情,symbol,中金所-上证 50 指数-指定合约-实时行情\nhttps://stock.finance.sina.com.cn/futures/view/optionsCffexDP.php/ho/cffex\n:param symbol: 合约代码; 用 ak.option_cffex_sz300_list_sina() 函数查看\n:type symbol: str\n:return: 中金所-上证 50 指数-指定合约-看涨看跌实时行情\n:rtype: pd.DataFrame,
option_cffex_zz1000_daily_sina,金融期权-新浪,新浪财经-中金所-中证 1000 指数-指定合约-日频行情,symbol,"新浪财经-中金所-中证 1000 指数-指定合约-日频行情\n:param symbol: 具体合约代码(包括看涨和看跌标识), 可以通过 ak.option_cffex_zz1000_spot_sina 中的 call-标识 获取\n:type symbol: str\n:return: 日频率数据\n:rtype: pd.DataFrame",
option_cffex_zz1000_list_sina,金融期权-新浪,"新浪财经-中金所-中证 1000 指数-所有合约, 返回的第一个合约为主力合约",,"新浪财经-中金所-中证 1000 指数-所有合约, 返回的第一个合约为主力合约\n目前新浪财经-中金所有沪深 300 指数和中证 1000 指数\n:return: 中金所-中证 1000 指数-所有合约\n:rtype: dict",
option_cffex_zz1000_spot_sina,金融期权-新浪,中金所-中证 1000 指数-指定合约-实时行情,symbol,中金所-中证 1000 指数-指定合约-实时行情\nhttps://stock.finance.sina.com.cn/futures/view/optionsCffexDP.php\n:param symbol: 合约代码; 用 option_cffex_zz1000_list_sina 函数查看\n:type symbol: str\n:return: 中金所-中证 1000 指数-指定合约-看涨看跌实时行情\n:rtype: pd.DataFrame,
option_comm_info,商品期权手续费,九期网-商品期权手续费,symbol,"九期网-商品期权手续费\nhttps://www.9qihuo.com/qiquanshouxufei\n:param symbol: choice of {""所有"", ""上海期货交易所"", ""大连商品交易所"", ""郑州商品交易所"", ""上海国际能源交易中心"", ""广州期货交易所""}\n:type symbol: str\n:return: 期权手续费\n:rtype: pandas.DataFrame",
option_comm_symbol,商品期权手续费,,,,
option_commodity_contract_sina,commodity option,当前可以查询的期权品种的合约日期,symbol,"当前可以查询的期权品种的合约日期\nhttps://stock.finance.sina.com.cn/futures/view/optionsDP.php\n:param symbol: choice of {""豆粕期权"", ""玉米期权"", ""铁矿石期权"", ""棉花期权"", ""白糖期权"", ""PTA期权"", ""甲醇期权"", ""橡胶期权"", ""沪铜期权"", ""黄金期权"", ""菜籽粕期权"", ""液化石油气期权"", ""动力煤期权"", ""菜籽油期权"", ""花生期权""}\n:type symbol: str\n:return: e.g., {'黄金期权': ['au2012', 'au2008', 'au2010', 'au2104', 'au2102', 'au2106', 'au2108']}\n:rtype: dict",
option_commodity_contract_table_sina,commodity option,"当前所有期权合约, 包括看涨期权合约和看跌期权合约",symbol;contract,"当前所有期权合约, 包括看涨期权合约和看跌期权合约\nhttps://stock.finance.sina.com.cn/futures/view/optionsDP.php\n:param symbol: choice of {""豆粕期权"", ""玉米期权"", ""铁矿石期权"", ""棉花期权"", ""白糖期权"", ""PTA期权"", ""甲醇期权"", ""橡胶期权"", ""沪铜期权"", ""黄金期权"", ""菜籽粕期权"", ""液化石油气期权"", ""动力煤期权"", ""菜籽油期权"", ""花生期权""}\n:type symbol: str\n:param contract: e.g., 'au2012'\n:type contract: str\n:return: 合约实时行情\n:rtype: pandas.DataFrame",
option_commodity_hist_sina,commodity option,合约历史行情-日频,symbol,"合约历史行情-日频\nhttps://stock.finance.sina.com.cn/futures/view/optionsDP.php\n:param symbol: return of option_sina_option_commodity_contract_list(symbol=""黄金期权"", contract=""au2012""), 看涨期权合约 filed\n:type symbol: str\n:return: 合约历史行情-日频\n:rtype: pandas.DataFrame",
option_current_em,东方财富-期权,东方财富网-行情中心-期权市场,,东方财富网-行情中心-期权市场\nhttps://quote.eastmoney.com/center/qqsc.html\n:return: 期权价格\n:rtype: pandas.DataFrame,
option_czce_daily,商品期权,郑州商品交易所-期权-日频行情数据,symbol;trade_date,"郑州商品交易所-期权-日频行情数据\nhttp://www.czce.com.cn/cn/sspz/dejbqhqq/H770227index_1.htm#tabs-2\n:param trade_date: 交易日\n:type trade_date: str\n:param symbol: choice of {""白糖期权"", ""棉花期权"", ""甲醇期权"", ""PTA期权"", ""动力煤期权"", ""菜籽粕期权"", ""菜籽油期权"",\n""花生期权"", ""对二甲苯期权"", ""烧碱期权"", ""纯碱期权"", ""短纤期权"", ""锰硅期权"", ""硅铁期权"", ""尿素期权"", ""苹果期权"", ""红枣期权"",\n""玻璃期权"", ""瓶片期权""}\n:type symbol: str\n:return: 日频行情数据\n:rtype: pandas.DataFrame",
option_czce_hist,商品期权-郑州商品交易所-期权-历史数据,郑州商品交易所-交易数据-历史行情下载-期权历史行情下载,symbol;year,"郑州商品交易所-交易数据-历史行情下载-期权历史行情下载\nhttp://www.czce.com.cn/cn/jysj/lshqxz/H770319index_1.htm\n:param symbol: choice of {""白糖"": ""SR"", ""棉花"": ""CF"", ""PTA"": ""TA"", ""甲醇"": ""MA"", ""菜籽粕"": ""RM"",\n""动力煤"": ""ZC"", ""菜籽油"": ""OI"", ""花生"": ""PK"", ""对二甲苯"": ""PX"", ""烧碱"": ""SH"", ""纯碱"": ""SA"", ""短纤"": ""PF"",\n""锰硅"": ""SM"", ""硅铁"": ""SF"", ""尿素"": ""UR"", ""苹果"": ""AP"", ""红枣"": ""CJ"", ""玻璃"": ""FG"", ""瓶片"": ""PR""}\n:type symbol: str\n:param year: 需要获取数据的年份, 注意品种的上市时间\n:type year: str\n:return: 指定年份的日频期权数据\n:rtype: pandas.DataFrame",
option_daily_stats_sse,上海证券交易所-产品-股票期权-每日统计,上海证券交易所-产品-股票期权-每日统计,date,上海证券交易所-产品-股票期权-每日统计\nhttps://www.sse.com.cn/assortment/options/date/\n:param date: 交易日\n:type date: str\n:return: 每日统计\n:rtype: pandas.DataFrame,
option_daily_stats_sse,期权-上海证券交易所-每日统计,获取上海证券交易所期权每日统计数据(成交量、持仓量等)。输入参数:date(YYYYMMDD格式),date,上海证券交易所-产品-股票期权-每日统计\nhttps://www.sse.com.cn/assortment/options/date/\n:param date: 交易日\n:type date: str\n:return: 每日统计\n:rtype: pandas.DataFrame,
option_daily_stats_szse,上海证券交易所-产品-股票期权-每日统计,深圳证券交易所-市场数据-期权数据-日度概况,date,深圳证券交易所-市场数据-期权数据-日度概况\nhttps://investor.szse.cn/market/option/day/index.html\n:param date: 交易日\n:type date: str\n:return: 每日统计\n:rtype: pandas.DataFrame,
option_dce_daily,商品期权,大连商品交易所-期权-日频行情数据,symbol;trade_date,"大连商品交易所-期权-日频行情数据\nhttp://www.dce.com.cn/\n:param trade_date: 交易日\n:type trade_date: str\n:param symbol: choice of {""玉米期权"", ""豆粕期权"", ""铁矿石期权"", ""液化石油气期权"", ""聚乙烯期权"", ""聚氯乙烯期权"",\n""聚丙烯期权"", ""棕榈油期权"", ""黄大豆1号期权"", ""黄大豆2号期权"", ""豆油期权"", ""乙二醇期权"", ""苯乙烯期权"",\n""鸡蛋期权"", ""玉米淀粉期权"", ""生猪期权"", ""原木期权""}\n:type symbol: str\n:return: 日频行情数据\n:rtype: pandas.DataFrame",
option_finance_board,金融期权,期权当前交易日的行情数据,symbol;end_month,"期权当前交易日的行情数据\n主要为三个: 华夏上证50ETF期权, 华泰柏瑞沪深300ETF期权, 嘉实沪深300ETF期权,\n沪深300股指期权, 中证1000股指期权, 上证50股指期权, 华夏科创50ETF期权, 易方达科创50ETF期权\nhttp://www.sse.com.cn/assortment/options/price/\nhttp://www.szse.cn/market/product/option/index.html\nhttp://www.cffex.com.cn/hs300gzqq/\nhttp://www.cffex.com.cn/zz1000gzqq/\n:param symbol: choice of {""华夏上证50ETF期权"", ""华泰柏瑞沪深300ETF期权"", ""南方中证500ETF期权"",\n""华夏科创50ETF期权"", ""易方达科创50ETF期权"", ""嘉实沪深300ETF期权"", ""沪深300股指期权"", ""中证1000股指期权"", ""上证50股指期权""}\n:type symbol: str\n:param end_month: 2003; 2020 年 3 月到期的期权\n:type end_month: str\n:return: 当日行情\n:rtype: pandas.DataFrame",
option_finance_minute_sina,金融期权-新浪,指定期权的分钟频率数据,symbol,指定期权的分钟频率数据\nhttps://stock.finance.sina.com.cn/option/quotes.html\n:param symbol: 期权代码\n:type symbol: str\n:return: 指定期权的分钟频率数据\n:rtype: pandas.DataFrame,
option_finance_sse_underlying,金融期权,期权标的当日行情,symbol,"期权标的当日行情\nhttp://www.sse.com.cn/assortment/options/price/\n:param symbol: choice of {""华夏上证50ETF期权"", ""华泰柏瑞沪深300ETF期权"", ""南方中证500ETF期权"", ""华夏科创50ETF期权"", ""易方达科创50ETF期权""}\n:type symbol: str\n:return: 期权标的当日行情\n:rtype: pandas.DataFrame",
option_gfex_daily,商品期权,广州期货交易所-日频率-量价数据,symbol;trade_date,"广州期货交易所-日频率-量价数据\nhttp://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml\n:param trade_date: 交易日\n:type trade_date: str\n:param symbol: choice of {""工业硅"", ""碳酸锂""}\n:type symbol: str\n:return: 日频行情数据\n:rtype: pandas.DataFrame",
option_gfex_vol_daily,商品期权,广州期货交易所-日频率-合约隐含波动率,symbol;trade_date,"广州期货交易所-日频率-合约隐含波动率\nhttp://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml\n:param symbol: choice of choice of {""工业硅"", ""碳酸锂""}\n:type symbol: str\n:param trade_date: 交易日\n:type trade_date: str\n:return: 日频行情数据\n:rtype: pandas.DataFrame",
option_lhb_em,期权龙虎榜,东方财富网-数据中心-期货期权-期权龙虎榜单,symbol;indicator;trade_date,"东方财富网-数据中心-期货期权-期权龙虎榜单\nhttps://data.eastmoney.com/other/qqlhb.html\n:param symbol: 期权代码; choice of {""510050"", ""510300"", ""159919""}\n:type symbol: str\n:param indicator: 需要获取的指标; choice of {""期权交易情况-认沽交易量"",""期权持仓情况-认沽持仓量"", ""期权交易情况-认购交易量"", ""期权持仓情况-认购持仓量""}\n:type indicator: str\n:param trade_date: 交易日期\n:type trade_date: str\n:return: 期权龙虎榜单\n:rtype: pandas.DataFrame",
option_margin,期权保证金,获取商品期权保证金数据,symbol,"获取商品期权保证金\n:param symbol: 商品期权品种名称, 如 ""原油期权""，可以通过 ak.option_margin_symbol() 获取所有商品期权品种代码和名称\n:type symbol: str\n:return: 商品期权保证金\n:rtype: pandas.DataFrame",
option_margin_symbol,期权保证金,获取所有可用的商品期权symbol列表,,,
option_minute_em,金融期权-新浪,东方财富网-行情中心-期权市场-分时行情,symbol,东方财富网-行情中心-期权市场-分时行情\nhttps://wap.eastmoney.com/quote/stock/151.cu2404P61000.html\n:param symbol: 期权代码; 通过调用 ak.option_current_em() 获取\n:type symbol: str\n:return: 指定期权的分钟频率数据\n:rtype: pandas.DataFrame,
option_premium_analysis_em,期权折溢价分析,东方财富网-数据中心-特色数据-期权折溢价,,东方财富网-数据中心-特色数据-期权折溢价\nhttps://data.eastmoney.com/other/premium.html\n:return: 期权折溢价\n:rtype: pandas.DataFrame,
option_risk_analysis_em,期权风险分析,东方财富网-数据中心-特色数据-期权风险分析,,东方财富网-数据中心-特色数据-期权风险分析\nhttps://data.eastmoney.com/other/riskanal.html\n:return: 期权风险分析\n:rtype: pandas.DataFrame,
option_risk_indicator_sse,期权-上海证券交易所-风险指标,获取上海证券交易所期权风险指标数据(Delta,date,上海证券交易所-产品-股票期权-期权风险指标\nhttp://www.sse.com.cn/assortment/options/risk/\n:param date: 日期; 20150209 开始\n:type date: str\n:return: 期权风险指标\n:rtype: pandas.DataFrame,
option_shfe_daily,商品期权,上海期货交易所-期权-日频行情数据,symbol;trade_date,"上海期货交易所-期权-日频行情数据\nhttps://www.shfe.com.cn/reports/tradedata/dailyandweeklydata/\n:param trade_date: 交易日\n:type trade_date: str\n:param symbol: choice of {'原油期权', '铜期权', '铝期权', '锌期权', '铅期权', '螺纹钢期权', '镍期权', '锡期权', '氧化铝期权',\n'黄金期权', '白银期权', '丁二烯橡胶期权', '天胶期权'}\n:type symbol: str\n:return: 日频行情数据\n:rtype: pandas.DataFrame",
option_sse_codes_sina,金融期权-新浪,获取上海证券交易所期权合约代码列表。返回字段包括：合约代码、合约名称、行权价、合约单位、到期月份、期权类型(认购/认沽),symbol;trade_date;underlying,"上海证券交易所-所有看涨和看跌合约的代码\n\n:param symbol: choice of {""看涨期权"", ""看跌期权""}\n:type symbol: str\n:param trade_date: 期权到期月份\n:type trade_date: ""202002""\n:param underlying: 标的产品代码 华夏上证 50ETF: 510050 or 华泰柏瑞沪深 300ETF: 510300\n:type underlying: str\n:return: 看涨看跌合约的代码\n:rtype: Tuple[List, List]",
option_sse_daily_sina,金融期权-新浪,指定期权的日频率数据,symbol,指定期权的日频率数据\n:param symbol: 期权代码\n:type symbol: str\n:return: 指定期权的所有日频率历史数据\n:rtype: pandas.DataFrame,
option_sse_expire_day_sina,金融期权-新浪,指定到期月份指定品种的剩余到期时间,trade_date;symbol;exchange,"指定到期月份指定品种的剩余到期时间\n:param trade_date: 到期月份: 202002, 20203, 20206, 20209\n:type trade_date: str\n:param symbol: 50ETF or 300ETF\n:type symbol: str\n:param exchange: null\n:type exchange: str\n:return: (到期时间, 剩余时间)\n:rtype: tuple",
option_sse_greeks_sina,金融期权-新浪,期权基本信息表,symbol,期权基本信息表\n:param symbol: 合约代码\n:type symbol: str\n:return: 期权基本信息表\n:rtype: pandas.DataFrame,
option_sse_list_sina,金融期权-新浪,新浪财经-期权-上交所-50ETF-合约到期月份列表,symbol;exchange,新浪财经-期权-上交所-50ETF-合约到期月份列表\nhttps://stock.finance.sina.com.cn/option/quotes.html\n:param symbol: 50ETF or 300ETF\n:type symbol: str\n:param exchange: null\n:type exchange: str\n:return: 合约到期时间\n:rtype: list,
option_sse_minute_sina,金融期权-新浪,"指定期权品种在当前交易日的分钟数据, 只能获取当前交易日的数据, 不能获取历史分钟数据",symbol,"指定期权品种在当前交易日的分钟数据, 只能获取当前交易日的数据, 不能获取历史分钟数据\nhttps://stock.finance.sina.com.cn/option/quotes.html\n:param symbol: 期权代码\n:type symbol: str\n:return: 指定期权的当前交易日的分钟数据\n:rtype: pandas.DataFrame",
option_sse_spot_price_sina,金融期权-新浪,新浪财经-期权-期权实时数据,symbol,新浪财经-期权-期权实时数据\n:param symbol: 期权代码\n:type symbol: str\n:return: 期权量价数据\n:rtype: pandas.DataFrame,
option_sse_underlying_spot_price_sina,金融期权-新浪,期权标的物的实时数据,symbol,期权标的物的实时数据\n:param symbol: sh510050 or sh510300\n:type symbol: str\n:return: 期权标的物的信息\n:rtype: pandas.DataFrame,
option_value_analysis_em,期权价值分析,东方财富网-数据中心-特色数据-期权价值分析,,东方财富网-数据中心-特色数据-期权价值分析\nhttps://data.eastmoney.com/other/valueAnal.html\n:return: 期权价值分析\n:rtype: pandas.DataFrame,
pro_api,,,token,"初始化 pro API,第一次可以通过ak.set_token('your token')来记录自己的token凭证，临时token可以通过本参数传入",
qdii_a_index_jsl,QDII,集思录-T+0 QDII-亚洲市场-亚洲指数,,集思录-T+0 QDII-亚洲市场-亚洲指数\nhttps://www.jisilu.cn/data/qdii/#qdiia\n:return: T+0 QDII-亚洲市场-亚洲指数\n:rtype: pandas.DataFrame,
qdii_e_comm_jsl,QDII,集思录-T+0 QDII-欧美市场-商品,,集思录-T+0 QDII-欧美市场-商品\nhttps://www.jisilu.cn/data/qdii/#qdiia\n:return: T+0 QDII-欧美市场-商品\n:rtype: pandas.DataFrame,
qdii_e_index_jsl,QDII,集思录-T+0 QDII-欧美市场-欧美指数,,集思录-T+0 QDII-欧美市场-欧美指数\nhttps://www.jisilu.cn/data/qdii/#qdiia\n:return: T+0 QDII-亚洲市场\n:rtype: pandas.DataFrame,
qhkc_tool_foreign,奇货可查-工具模块,奇货可查-工具-外盘比价,url,"奇货可查-工具-外盘比价\n实时更新数据, 暂不能查询历史数据\n:param url: str 网址\n:return: pd.DataFrame\nname    base_time base_price latest_price   rate\n 伦敦铜  10/08 01:00       5704       5746.5  0.745\n 伦敦锌  10/08 01:00    2291.25      2305.75  0.633\n 伦敦镍  10/08 01:00      17720      17372.5 -1.961\n 伦敦铝  10/08 01:00     1743.5      1742.75 -0.043\n 伦敦锡  10/07 15:00      16550        16290 -1.571\n 伦敦铅  10/08 01:00    2181.25       2177.5 -0.172\n美原油1  10/08 02:30      52.81        53.05  0.454\n美原油2  10/07 23:00      53.94        53.05  -1.65\n布原油1  10/08 02:30      58.41        58.67  0.445\n布原油2  10/07 23:00      59.54        58.67 -1.461\n 美燃油  10/07 23:00     1.9287       1.9102 -0.959\nCMX金  10/08 02:30     1495.9       1496.5   0.04\nCMX银  10/08 02:30     17.457       17.457      0\n  美豆  10/07 23:00     916.12       915.88 -0.026\n 美豆粕  10/07 23:00     302.75       302.65 -0.033\n 美豆油  10/07 23:00      30.02        29.91 -0.366\n 美玉米  10/07 23:00     386.38       387.88  0.388\n  美糖  10/07 23:30      12.37        12.53  1.293\n 美棉花  10/07 23:30      61.69        61.05 -1.037",
